funding_id,funding_cluster,funding_nation,funding_type
1,Funding Cluster 4,Domestic,C'wealth Supported
2,Funding Cluster 2,Domestic,C'wealth Supported
3,Funding Cluster 1,Domestic,C'wealth Supported
4,Funding Cluster 2,International,Onshore
5,Funding Cluster 4,Domestic,RTP
6,Funding Cluster 3,Domestic,C'wealth Supported
7,Funding Cluster 3,International,Onshore
8,Funding Cluster 1,International,Onshore
9,Funding Cluster 3,Domestic,RTP
10,Funding Cluster 4,International,Onshore
11,Funding Cluster 1,Domestic,RTP
12,Funding Cluster 2,Domestic,RTP
13,Funding Cluster 3,Domestic,Fee-Paying
14,Funding Cluster 4,Domestic,Fee-Paying
15,Funding Cluster 1,Domestic,Fee-Paying
16,Funding Cluster 2,Domestic,Fee-Paying
17,Funding Cluster 1,International,Onshore Exchange
18,Funding Cluster 1,Domestic,Non-Award & Others
19,Funding Cluster 2,Domestic,Non-Award & Others
20,Funding Cluster 2,International,Offshore
21,Funding Cluster 3,International,RTP
22,Funding Cluster 1,International,RTP
23,Funding Cluster 1,International,Study Abroad
24,Funding Cluster 3,Domestic,Non-Award & Others
25,Funding Cluster 2,International,Study Abroad
26,Funding Cluster 4,International,RTP
27,Funding Cluster 4,Domestic,Non-Award & Others
28,Funding Cluster 2,International,Onshore Exchange
29,Funding Cluster 3,International,Onshore Exchange
30,Funding Cluster 2,International,RTP
31,,Domestic,RTP
32,Funding Cluster 3,International,Study Abroad
33,Funding Cluster 4,International,Onshore Exchange
34,Funding Cluster 4,International,Study Abroad
35,Funding Cluster 1,International,Offshore
36,,International,Onshore Exchange
